2020-09-29 22:23:28,993 - INFO - #####################################
2020-09-29 22:23:29,015 - INFO - ############Start Training###########
2020-09-29 22:23:29,015 - INFO - #####################################
2020-09-29 22:25:12,822 - INFO - Env 03, Goal (-07.0, 009.5), Episode 00002, setp 001, Reward -42.5, Crashed,
2020-09-29 22:25:12,836 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00002, setp 020, Reward -38.8, Crashed,
2020-09-29 22:25:19,143 - INFO - Env 10, Goal (010.0, 010.0), Episode 00005, setp 040, Reward -25.2, Crashed,
2020-09-29 22:25:19,143 - INFO - Env 12, Goal (014.0, 010.0), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:19,144 - INFO - Env 13, Goal (016.0, 010.0), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:19,145 - INFO - Env 14, Goal (018.0, 010.0), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:19,159 - INFO - Env 11, Goal (012.0, 010.0), Episode 00005, setp 048, Reward -23.9, Crashed,
2020-09-29 22:25:21,050 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00006, setp 041, Reward -42.3, Crashed,
2020-09-29 22:25:21,051 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00006, setp 041, Reward -42.3, Crashed,
2020-09-29 22:25:21,051 - INFO - Env 22, Goal (003.5, -05.5), Episode 00006, setp 025, Reward -42.1, Crashed,
2020-09-29 22:25:21,060 - INFO - Env 21, Goal (001.5, -05.5), Episode 00006, setp 061, Reward -40.7, Crashed,
2020-09-29 22:25:21,077 - INFO - Env 23, Goal (005.5, -05.5), Episode 00006, setp 064, Reward -34.2, Crashed,
2020-09-29 22:25:27,868 - INFO - Env 16, Goal (005.5, -02.5), Episode 00008, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:27,867 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00008, setp 057, Reward -16.7, Crashed,
2020-09-29 22:25:27,879 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00008, setp 047, Reward -22.8, Crashed,
2020-09-29 22:25:27,915 - INFO - Env 15, Goal (003.5, -02.5), Episode 00008, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:31,313 - INFO - Env 34, Goal (018.2, -01.8), Episode 00002, setp 090, Reward -51.0, Crashed,
2020-09-29 22:25:31,313 - INFO - Env 35, Goal (016.9, -18.9), Episode 00002, setp 081, Reward -52.7, Crashed,
2020-09-29 22:25:31,320 - INFO - Env 36, Goal (010.0, -17.6), Episode 00002, setp 001, Reward -58.9, Crashed,
2020-09-29 22:25:31,321 - INFO - Env 37, Goal (017.6, -17.3), Episode 00002, setp 016, Reward -53.7, Crashed,
2020-09-29 22:25:31,325 - INFO - Env 38, Goal (014.4, -03.3), Episode 00002, setp 087, Reward -40.2, Crashed,
2020-09-29 22:25:31,325 - INFO - Env 39, Goal (012.3, -15.6), Episode 00002, setp 001, Reward -47.4, Crashed,
2020-09-29 22:25:31,327 - INFO - Env 40, Goal (009.7, -15.1), Episode 00002, setp 052, Reward -50.2, Crashed,
2020-09-29 22:25:31,334 - INFO - Env 41, Goal (018.8, -17.1), Episode 00002, setp 001, Reward -51.7, Crashed,
2020-09-29 22:25:31,336 - INFO - Env 42, Goal (018.4, -13.9), Episode 00002, setp 012, Reward -45.7, Crashed,
2020-09-29 22:25:31,339 - INFO - Env 43, Goal (015.2, -15.0), Episode 00002, setp 001, Reward -49.4, Crashed,
2020-09-29 22:25:34,143 - INFO - Env 10, Goal (010.0, 010.0), Episode 00006, setp 034, Reward -23.2, Crashed,
2020-09-29 22:25:34,145 - INFO - Env 12, Goal (014.0, 010.0), Episode 00006, setp 041, Reward -22.6, Crashed,
2020-09-29 22:25:34,151 - INFO - Env 11, Goal (012.0, 010.0), Episode 00006, setp 001, Reward -30.0, Crashed,
2020-09-29 22:25:34,153 - INFO - Env 13, Goal (016.0, 010.0), Episode 00006, setp 033, Reward -23.3, Crashed,
2020-09-29 22:25:34,156 - INFO - Env 14, Goal (018.0, 010.0), Episode 00006, setp 038, Reward -23.2, Crashed,
2020-09-29 22:25:35,636 - INFO - Env 32, Goal (-13.8, -04.3), Episode 00001, setp 075, Reward -31.9, Crashed,
2020-09-29 22:25:35,639 - INFO - Env 24, Goal (-18.0, -10.0), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-09-29 22:25:35,641 - INFO - Env 25, Goal (-16.9, -13.5), Episode 00001, setp 092, Reward -37.9, Crashed,
2020-09-29 22:25:35,651 - INFO - Env 27, Goal (-10.2, -15.7), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-09-29 22:25:35,651 - INFO - Env 26, Goal (-13.8, -15.7), Episode 00001, setp 065, Reward -29.8, Crashed,
2020-09-29 22:25:35,651 - INFO - Env 33, Goal (-16.9, -06.5), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-09-29 22:25:35,659 - INFO - Env 28, Goal (-07.2, -13.5), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-09-29 22:25:35,663 - INFO - Env 29, Goal (-06.0, -10.0), Episode 00001, setp 001, Reward -45.0, Crashed,
